,Created at,User ID,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
21,Sun May 15 11:59:13 +0000 2022,1525808015957536770,Mazi Uche,@MrOdanz @shadeniola @Zenith4luv @mrfej @Dinnydavinci @Dikachii_ @Papawembagrills @Elkrosmediahub @Elkrosmediahub @MrOdanz thanks!,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
22,Sun May 15 11:58:48 +0000 2022,1525807908511965186,Mazi Uche,@MrOdanz @shadeniola @Zenith4luv @mrfej @Dinnydavinci @Dikachii_ @Papawembagrills @Elkrosmediahub 🕺🕺🕺🕺,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
23,Sun May 15 08:26:59 +0000 2022,1525754603819700224,Mazi Uche,@MrOdanz @Papawembagrills @MrOdanz i dey Lagos now o. Hala Madrid,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
24,Sun May 15 06:41:40 +0000 2022,1525728101971505152,Mazi Uche,@Elkrosmediahub @Papawembagrills @MrOdanz @69designsNaija @UgwunnaEjikem @EddieMadaki @miss_lilieee Congrats boss,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
25,Sat May 14 21:04:00 +0000 2022,1525582727956799490,Mazi Uche,@ellamai What is your favorite song from the album and why?  love from Nigeria!  #HeartOnMySleeve #AskEllaMai,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
26,Fri May 13 20:41:15 +0000 2022,1525214613666684928,Mazi Uche,"@esomchukwupaul @Morris_Monye @Norbs_A Cocaine was once used in cough syrup.
Now it's a taboo, would you be associa… https://t.co/OCWorCyFEe",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
27,Fri May 13 19:03:38 +0000 2022,1525190046923558912,Mazi Uche,"@Sujodamystique Because you become osu by your parents status, it never died off. I don't know if any tribe has som… https://t.co/R1skYvK9Uv",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
28,Fri May 13 19:00:01 +0000 2022,1525189135220330497,Mazi Uche,"@Morris_Monye @Norbs_A Forgive me if I'm wrong, but they weren't segregated before then?",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
29,Fri May 13 18:54:57 +0000 2022,1525187861833732097,Mazi Uche,"@Sujodamystique Christians no dey associate with gods nau.
Osu are people that were offered/served Gods... Kinda li… https://t.co/sYbmMBYfOQ",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
30,Fri May 13 18:52:03 +0000 2022,1525187132939280385,Mazi Uche,"@The_x_Dami Na Islamic person fuck up, but somehow Christians the collect lmao",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
31,Fri May 13 18:47:44 +0000 2022,1525186046111145990,Mazi Uche,"@Sujodamystique You didn't understand him.

He is saying osu was not discriminsted till Christianity made people di… https://t.co/jdG9lYmA1N",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
32,Fri May 13 10:24:08 +0000 2022,1525059309729681409,Mazi Uche,"@frankdonga_ Conversation rate is low in almost every industry, a good click through rate, the average is around 1.… https://t.co/OrgG4aqdUH",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
33,Fri May 13 06:35:40 +0000 2022,1525001816475418628,Mazi Uche,@MrOdanz So how can this be stopped if not education,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
34,Thu May 12 18:37:46 +0000 2022,1524821149753954305,Mazi Uche,@_mvyowa Wtf!,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
35,Thu May 12 18:29:24 +0000 2022,1524819043714322433,Mazi Uche,@Iam_shuayb Forgive me if I'm wrong but sharia court sentenced someone to death recently... Is that fair?,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
36,Thu May 12 18:14:27 +0000 2022,1524815280391827457,Mazi Uche,"I'm. Really loving Lagos.. Infact, I'm over the moon https://t.co/EbuAid1tPU",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
37,Thu May 12 09:40:50 +0000 2022,1524686024718303232,Mazi Uche,@_PLICE Immediately you disconnect its gone. You'll have to turn it of and on lol.. Except you're using a Mac with… https://t.co/WfIP13RDyu,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
38,Thu May 12 09:25:15 +0000 2022,1524682102876385280,Mazi Uche,@Nekie_neka @aproko_doctor @roqqupay I'm in Lagos now oo.  Biko recommend Asian restaurants. Cheap cheap ones o. Im… https://t.co/n3uzXCisRi,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
39,Thu May 12 08:38:53 +0000 2022,1524670436809838592,Mazi Uche,@Le_Parka 💀.. Lmao,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
40,Thu May 12 08:36:35 +0000 2022,1524669856125177856,Mazi Uche,@Donepuchie2 @HeavenlyControl Slander,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
41,Tue May 10 20:46:21 +0000 2022,1524128730913951745,Mazi Uche,"@AyoOluleye Problem I'm having rn lol.
I spend 4hrs total on the road to work and back (crazy yeah) by the time I'm… https://t.co/s47B5h2jbc",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
42,Tue May 10 20:43:14 +0000 2022,1524127949036920832,Mazi Uche,@AlchemistRing Ok.,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
43,Tue May 10 20:31:38 +0000 2022,1524125030824562688,Mazi Uche,"@AlchemistRing I think you're not defining x column.. You need to use x=(data you need in x column)
Not just lettin… https://t.co/oxDqz5K9VY",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
44,Tue May 10 18:04:15 +0000 2022,1524087941026488321,Mazi Uche,@____Uche 😬. I'm still an intern you know 😅,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
45,Tue May 10 17:35:27 +0000 2022,1524080690421288960,Mazi Uche,"Pretty weird being told by superiors to call them by their first name.

Like aunty... I'm not trying to be disrespe… https://t.co/aiUFzDaJuo",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
46,Tue May 10 17:30:05 +0000 2022,1524079338886504449,Mazi Uche,@____Uche Intern 🤗,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
47,Tue May 10 17:29:44 +0000 2022,1524079251129044995,Mazi Uche,@El_badstuber Tech 🙂,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
48,Tue May 10 17:19:43 +0000 2022,1524076729781866496,Mazi Uche,First bank is a very wonderful place to work in 🥺,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
49,Tue May 10 08:35:00 +0000 2022,1523944681448562688,Mazi Uche,"@esthery_a Well, I'm a dude. All I have to do is stand and pee.. I just don't want to see anything around me 💀",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
50,Tue May 10 07:43:59 +0000 2022,1523931844407971840,Mazi Uche,@esthery_a Very handy ooo 🤣,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
51,Tue May 10 04:40:22 +0000 2022,1523885633483251712,Mazi Uche,One of the perks of using prescription lens is being able to disable vision in public restroom,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
52,Mon May 09 12:29:13 +0000 2022,1523641237454041088,Mazi Uche,@_mvyowa Create a bookmark folder,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
53,Mon May 09 09:33:32 +0000 2022,1523597024502853632,Mazi Uche,@Morris_Monye Hello 😁,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
54,Sun May 08 21:18:01 +0000 2022,1523411926281195520,Mazi Uche,@Naija_PR https://t.co/VjiHdYcLTa,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
55,Sun May 08 19:46:04 +0000 2022,1523388784976404480,Mazi Uche,"@possibleoge Them go tell guy to express in self... Lmao.
Show emotions at your own peril",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
